px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	3.04035	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.56569	0.243462	3.04035	-5.66496e-18	9.54098e-18	8.44818	0.251553	8.45	0.25	-3.00027	0	0
8.53402	0.2409	2.61808	-0.0133995	-0.00243747	8.56759	0.241943	8.45	0.25	0	0	0.86611
8.62252	0.239391	2.61808	-0.0135215	-0.00243747	8.45582	0.253997	8.45	0.25	0	0	0
8.44558	0.246484	1.81064	-0.0356468	-0.0103957	8.42544	0.254042	8.35	0.25	-1.81979	0	3.58706
8.51173	0.243447	1.81064	-0.036218	-0.0103957	8.23962	0.24916	8.25	0.25	-1.81978	0	0
8.08467	0.207089	-0.0218387	-0.214668	-0.0681574	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	14.646
8.08374	0.206235	-0.0218387	-0.218076	-0.0681574	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0
7.65562	0.231079	-2.68331	-0.176048	-0.0417214	7.61269	0.155818	7.7	0.15	-2.99982	0	22.3409
7.5668	0.246849	-2.68331	-0.178134	-0.0417214	7.54016	0.159641	7.55	0.15	-2.99982	0	0
7.47339	0.21143	-2.67506	-0.00723867	0.0616371	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	0.416647
7.37676	0.211977	-2.67506	-0.00384542	0.0616371	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0
7.21397	0.0846619	-2.72336	0.418462	0.277768	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	1.10967
7.11176	0.0381643	-2.72336	0.433732	0.277768	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0
6.96027	-0.0983558	-2.761	0.650549	0.384634	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	0.838533
6.85294	-0.182744	-2.761	0.671695	0.384634	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0
