px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	0
0.00223134	0	0	0	0	0	0	0	0	0	0	0.666167
1.55844	-0.13847	0.067321	4.16334e-17	2.77556e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0.0700806
1.62237	0.0217038	2.2363	-0.000286566	0.000163404	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	4.39247
3.88117	-0.130641	2.49169	-0.150637	0.00249293	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0.419394
3.9506	0.0729866	2.51687	0.0515998	-0.000225539	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.00314
6.84659	0.410365	2.95307	0.414999	0.301673	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0.993189
6.76538	0.436063	2.98552	0.427766	0.308126	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.5947
9.07088	0.600808	2.7962	-0.0532037	-0.120032	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.572698
9.03642	0.668246	2.78104	-0.0093852	-0.0968442	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.1455
11.5682	1.65213	2.89779	0.70778	0.366493	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.879511
11.5437	1.61409	2.9924	0.658268	0.318275	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.520886
13.5982	2.3338	2.15424	0.34072	-0.0734178	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	1.15426
13.6195	2.30879	2.54338	0.286495	-0.131185	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1.09454
16.6187	2.90199	3.22353	0.027929	-0.209071	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	1.1173
16.5494	2.88762	2.97346	0.0243977	-0.223357	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.12461
19.0102	3.69319	2.87712	0.41962	0.156511	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.597508
19.0794	3.71591	2.76469	0.458131	0.193743	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.36883
21.3247	4.73478	2.84112	0.41302	0.0440384	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.116469
21.383	4.74494	2.96627	0.395415	0.0269658	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.781314
24.0683	5.57102	3.1639	0.192737	-0.115711	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.209114
24.1728	5.60424	3.24034	0.183108	-0.122054	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	2.88482
26.6093	6.94996	3.15564	0.658763	0.248188	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.560113
26.5969	6.94238	3.30429	0.630621	0.208505	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.0987375
29.5703	8.09114	3.37057	0.239803	-0.172438	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.804114
29.5557	8.08868	3.20324	0.239489	-0.175611	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.120928
31.9458	9.86406	3.16844	0.877535	0.335332	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	1.04496
31.9031	9.83826	3.31371	0.826716	0.266957	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.723466
34.6098	10.7214	2.4691	0.204913	-0.298552	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	1.92803
34.7122	10.7718	2.99065	0.197801	-0.28095	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.87522
37.1411	12.0726	2.9849	0.640753	0.17412	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.833199
37.2201	12.0954	3.25436	0.617705	0.135465	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.57359
40.3066	13.4646	3.62331	0.251408	-0.185482	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0.916733
40.2381	13.4402	3.2193	0.244712	-0.203799	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.30864
42.7683	14.8176	3.19682	0.623269	0.163522	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.54462
42.7451	14.8098	3.32471	0.601251	0.134801	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.216266
45.3476	16.5503	3.5239	0.564948	0.0251283	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.167166
45.3934	16.5659	3.37088	0.571383	0.0482029	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.755466
48.1506	17.2923	3.18808	0.105495	-0.27439	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0.447981
48.126	17.2836	3.02093	0.0953045	-0.294667	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.21456
50.6203	19.0493	2.85859	0.895641	0.393462	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	2.01217
50.6037	19.0266	3.20541	0.789269	0.25125	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.511718
53.707	19.9105	2.90361	0.0446982	-0.384402	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	2.10609
53.6737	19.9021	2.94124	0.0652187	-0.358964	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.322099
