px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
1.5591	-0.13847	0.0230978	4.16334e-17	2.77556e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0.0242049
1.5591	-0.13847	0.0230978	1.249e-17	3.33067e-17	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	0
3.86799	-0.136313	2.54937	0.000948078	-1.50524e-05	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	2.36326
3.86799	-0.136313	2.54937	0.000948078	-1.50524e-05	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	0
6.85353	0.404989	2.90551	0.902629	0.59214	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	1.09452
6.85353	0.404989	2.90551	0.902629	0.59214	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	0
9.06843	0.609289	2.17368	0.389274	0.0960671	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	1.78806
9.06843	0.609289	2.17368	0.389274	0.0960671	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	0
11.5608	1.66807	2.89302	0.198923	-0.104756	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.671848
11.5608	1.66807	2.89302	0.198923	-0.104756	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0
13.5934	2.30877	2.84859	0.312664	0.0137556	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.0509408
13.5934	2.30877	2.84859	0.312664	0.0137556	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0
16.6373	2.90433	3.40757	0.106904	-0.112658	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0.312041
16.6373	2.90433	3.40757	0.106904	-0.112658	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0
19.0158	3.69944	3.10767	0.355907	0.109331	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.289823
19.0158	3.69944	3.10767	0.355907	0.109331	19.363	3.87122	18.923	3.74161	2.61382	0.95648	0
21.3326	4.73204	3.02189	0.494493	0.127374	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.00774977
21.3326	4.73204	3.02189	0.494493	0.127374	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0
24.0712	5.57635	3.17806	0.166793	-0.156501	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.349302
24.0712	5.57635	3.17806	0.166793	-0.156501	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	0
26.6076	6.94844	3.17473	0.654342	0.242773	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.63752
26.6076	6.94844	3.17473	0.654342	0.242773	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0
29.5753	8.09667	3.39156	0.194743	-0.194278	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.778993
29.5753	8.09667	3.39156	0.194743	-0.194278	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0
31.9487	9.86536	3.20408	0.80731	0.310555	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	1.10734
31.9487	9.86536	3.20408	0.80731	0.310555	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0
34.604	10.7165	2.91306	0.157311	-0.292197	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	1.62847
34.604	10.7165	2.91306	0.157311	-0.292197	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	0
37.1417	12.071	3.04579	0.648587	0.197156	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.972089
37.1417	12.071	3.04579	0.648587	0.197156	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	0
40.3146	13.4702	3.61614	0.229484	-0.179806	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0.820382
40.3146	13.4702	3.61614	0.229484	-0.179806	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	0
42.7731	14.8215	3.3628	0.541	0.125748	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.480214
42.7731	14.8215	3.3628	0.541	0.125748	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0
45.3552	16.5507	3.52975	0.673356	0.130711	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.0268532
45.3552	16.5507	3.52975	0.673356	0.130711	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0
48.1487	17.2959	3.22143	0.102391	-0.307568	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0.861008
48.1487	17.2959	3.22143	0.102391	-0.307568	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0
50.627	19.0499	3.03859	0.867252	0.367211	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	1.90082
50.627	19.0499	3.03859	0.867252	0.367211	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0
53.7056	19.9192	2.95335	-0.0884612	-0.464547	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	2.90806
53.7056	19.9192	2.95335	-0.0884612	-0.464547	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0
56.0365	21.0645	2.60219	0.557074	0.231073	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	2.32046
56.0365	21.0645	2.60219	0.557074	0.231073	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0
58.6524	21.7926	2.9115	0.145934	-0.162588	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.672541
58.6524	21.7926	2.9115	0.145934	-0.162588	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0
60.8759	22.7777	2.82755	0.480825	0.138792	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0.382248
60.8759	22.7777	2.82755	0.480825	0.138792	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0
63.3766	23.4153	2.90834	0.153934	-0.147522	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.327205
63.3766	23.4153	2.90834	0.153934	-0.147522	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	0
66.3338	23.9917	3.32425	0.187875	-0.0368358	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0.212622
66.3338	23.9917	3.32425	0.187875	-0.0368358	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	0
68.2719	24.3597	2.73978	0.175564	-0.0247336	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.379149
68.2719	24.3597	2.73978	0.175564	-0.0247336	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	0
70.8243	24.8822	2.95785	0.221498	0.019664	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.0494942
70.8243	24.8822	2.95785	0.221498	0.019664	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0
72.8973	24.723	2.56114	-0.144155	-0.217884	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.395622
72.8973	24.723	2.56114	-0.144155	-0.217884	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0
75.0015	25.2414	2.38439	0.363612	0.229809	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0.852948
75.0015	25.2414	2.38439	0.363612	0.229809	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0
77.1175	24.9528	2.2237	-0.298189	-0.315659	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.28671
77.1175	24.9528	2.2237	-0.298189	-0.315659	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0
79.1038	25.0184	2.20264	0.0969903	0.113745	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	0.763119
79.1038	25.0184	2.20264	0.0969903	0.113745	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0
80.81	24.8765	2.06831	-0.0596436	-0.0488654	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.136253
80.81	24.8765	2.06831	-0.0596436	-0.0488654	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	0
82.6198	24.6419	2.16611	-0.19824	-0.101924	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.0216026
82.6198	24.6419	2.16611	-0.19824	-0.101924	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0
84.1759	24.5436	1.95262	-0.0608313	0.0386319	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.127411
84.1759	24.5436	1.95262	-0.0608313	0.0386319	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0
85.6412	23.8239	1.85107	-0.593759	-0.299977	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.478347
85.6412	23.8239	1.85107	-0.593759	-0.299977	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0
86.9381	23.5094	1.58413	-0.284403	0.0551607	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0.613626
86.9381	23.5094	1.58413	-0.284403	0.0551607	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	0
88.8095	22.7927	2.29057	-0.346254	-0.00471436	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	0.467762
88.8095	22.7927	2.29057	-0.346254	-0.00471436	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	0
89.5125	22.3062	1.57807	-0.5219	-0.10242	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	0.728288
89.5125	22.3062	1.57807	-0.5219	-0.10242	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0
90.5147	21.6666	1.47644	-0.620522	-0.100355	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.00830598
90.5147	21.6666	1.47644	-0.620522	-0.100355	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	0
91.7085	21.1074	1.58448	-0.358734	0.104519	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.188445
91.7085	21.1074	1.58448	-0.358734	0.104519	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	0
92.8595	20.9465	1.48027	-0.0117993	0.238589	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.080616
92.8595	20.9465	1.48027	-0.0117993	0.238589	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	0
93.4757	20.2443	0.950053	-0.681607	-0.260017	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	1.32959
93.4757	20.2443	0.950053	-0.681607	-0.260017	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	0
95.2728	19.6346	2.09332	0.234798	0.376559	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	2.74429
95.2728	19.6346	2.09332	0.234798	0.376559	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	0
95.5217	19.7071	1.32583	0.577993	0.365708	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	1.10128
95.5217	19.7071	1.32583	0.577993	0.365708	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0
96.2484	19.1934	0.563991	-0.168649	-0.226266	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	2.03702
96.2484	19.1934	0.563991	-0.168649	-0.226266	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0
97.5085	18.7716	1.69891	-0.813907	-0.457733	97.5286	18.727	97.45	18.506	0.868716	-0.503009	1.68064
97.5085	18.7716	1.69891	-0.813907	-0.457733	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0
98.2017	18.3647	1.63948	-0.723846	-0.20688	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.25822
98.2017	18.3647	1.63948	-0.723846	-0.20688	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0
99.0299	17.3572	1.86136	-0.782061	-0.136196	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	0.0987085
99.0299	17.3572	1.86136	-0.782061	-0.136196	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	0
99.9793	16.9731	1.79634	-0.343848	0.179863	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0.556486
99.9793	16.9731	1.79634	-0.343848	0.179863	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	0
101.195	16.5394	2.52197	-0.161624	0.182094	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.556361
101.195	16.5394	2.52197	-0.161624	0.182094	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0
102.393	16.3992	2.02376	-0.0124693	0.167782	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.16024
102.393	16.3992	2.02376	-0.0124693	0.167782	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	0
103.008	15.3828	1.50247	-1.25669	-0.695827	103.003	15.353	103.119	15.4967	1.11708	-0.508169	1.77115
103.008	15.3828	1.50247	-1.25669	-0.695827	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	0
104.073	15.2573	1.01531	-0.430797	0.0779476	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	2.51732
104.073	15.2573	1.01531	-0.430797	0.0779476	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0
105.516	14.443	2.13263	-0.31977	0.117165	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	1.01179
105.516	14.443	2.13263	-0.31977	0.117165	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0
106.831	14.0482	2.13448	-0.202761	0.117109	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	9.46466e-06
106.831	14.0482	2.13448	-0.202761	0.117109	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	0
108.085	13.6645	2.03225	-0.3313	0.00244088	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.0597435
108.085	13.6645	2.03225	-0.3313	0.00244088	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0
109.534	13.5644	1.91054	-0.0251478	0.165978	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.114154
109.534	13.5644	1.91054	-0.0251478	0.165978	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0
111.062	12.6068	1.89605	-0.834035	-0.404466	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	1.20968
111.062	12.6068	1.89605	-0.834035	-0.404466	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	0
112.885	12.4573	1.62754	0.155903	0.412987	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	2.80484
112.885	12.4573	1.62754	0.155903	0.412987	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0
114.789	12.5601	2.18432	0.120837	0.156559	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.475854
114.789	12.5601	2.18432	0.120837	0.156559	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0
116.682	12.1178	2.2176	-0.413763	-0.229662	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	0.597866
116.682	12.1178	2.2176	-0.413763	-0.229662	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0
118.941	11.9857	2.45985	0.164633	0.238534	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.856393
118.941	11.9857	2.45985	0.164633	0.238534	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0
120.698	12.2954	2.25847	0.300733	0.176642	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.0619892
120.698	12.2954	2.25847	0.300733	0.176642	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0
123.548	12.8363	3.10963	-0.0275275	-0.134281	123.568	12.8297	122.95	12.5114	2.29835	0.246599	1.0921
123.548	12.8363	3.10963	-0.0275275	-0.134281	123.142	12.7694	122.95	12.5114	2.29835	0.246599	0
124.909	12.7717	2.3087	-0.127897	-0.10821	124.894	12.7743	125.242	12.8125	2.37624	0.369827	0.838535
124.909	12.7717	2.3087	-0.127897	-0.10821	125.376	12.9964	125.242	12.8125	2.37624	0.369827	0
